stop_id,mistaken_stop_name,corrected_stop_name
46,උතුවන්කන්ද උතුවන්කන්ද,උතුවන්කන්ද
89,තන්නිමලේ තන්නිමලේ,තන්නිමලේ
105,තල්ලියද්ද තල්ලියද්ද,තල්ලියද්ද
116,ග්ලාස් හවුස් ග්ලාස් හවුස්,ග්ලාස් හවුස්
117,රේස් කෝස් රේස් කෝස්,රේස් කෝස්
137,කිවුල් ලිඳ කිවුල් ලිඳ,කිවුල් ලිඳ
328,කිරින්ද කිරින්ද,කිරින්ද
396,සේනකුඩි ඉරිප්පු සේනකුඩි ඉරිප්පු,සේනකුඩි ඉරිප්පු
565,ෆාම්ගාඩ්න් ෆාම්ගාඩ්න්,ෆාම්ගාඩ්න්
578,බටලන්ද බටලන්ද,බටලන්ද
593,පල්ලෙබැද්ද පල්ලෙබැද්ද,පල්ලෙබැද්ද
599,කොළඹගේ ආර කොළඹගේ ආර,කොළඹගේ ආර
766,පෙරියකාඩ්ඩු පෙරියකාඩ්ඩු,පෙරියකාඩ්ඩු
773,පන්නවඩ්ඩුවාන් පන්නවඩ්ඩුවාන්,පන්නවඩ්ඩුවාන්
776,මුරුන්කන් මුරුන්කන්,මුරුන්කන්
777,සෙම්මන්තීවු සෙම්මන්තීවු,සෙම්මන්තීවු
780,පරප්පන්කන්ඩල් පරප්පන්කන්ඩල්,පරප්පන්කන්ඩල්
796,පෙරියකරයිසල් පෙරියකරයිසල්,පෙරියකරයිසල්
797,සිරුතෝප්පු සිරුතෝප්පු,සිරුතෝප්පු
798,පේසාලෙයි පේසාලෙයි,පේසාලෙයි
799,තුල්ලුකුඩි ඉරිප්පු තුල්ලුකුඩි ඉරිප්පු,තුල්ලුකුඩි ඉරිප්පු
801,කීලියංකුඩි ඉරිප්පු කීලියංකුඩි ඉරිප්පු,කීලියංකුඩි ඉරිප්පු
802,පරිදිපන්නෙයි පරිදිපන්නෙයි,පරිදිපන්නෙයි
803,කඩ්ඩුකාරන්කුඩි ඉරිප්පු කඩ්ඩුකාරන්කුඩි ඉරිප්පු,කඩ්ඩුකාරන්කුඩි ඉරිප්පු
853,සේරුකැලේ සේරුකැලේ,සේරුකැලේ
862,කොත්වලකන්ද කොත්වලකන්ද,කොත්වලකන්ද
885,බුදුරුවකන්ද බුදුරුවකන්ද,බුදුරුවකන්ද
886,අමුණුකොලේ අමුණුකොලේ,අමුණුකොලේ
955,එන්තාලේ එන්තාලේ,එන්තාලේ
957,නොරොච්චෝලේ නොරොච්චෝලේ,නොරොච්චෝලේ
976,තිරප්පනේ තිරප්පනේ,තිරප්පනේ
1031,කඩවත්මඩු කඩවත්මඩු,කඩවත්මඩු
1052,වන්දාරුමුල්ලෙයි වන්දාරුමුල්ලෙයි,වන්දාරුමුල්ලෙයි
1055,ආරුමුගන්තාන් කුඩි ඉරිප්පු ආරුමුගන්තාන් කුඩි ඉරිප්පු,ආරුමුගන්තාන් කුඩි ඉරිප්පු
1056,මයිලන්පාවලෙයි මයිලන්පාවලෙයි,මයිලන්පාවලෙයි
1071,මූන්ඩෘ ඉරුප්පු මූන්ඩෘ ඉරුප්පු,මූන්ඩෘ ඉරුප්පු
1092,නයිනමඩු නයිනමඩු,නයිනමඩු
1095,නැදුර්න්කර්නි නැදුර්න්කර්නි,නැදුර්න්කර්නි
1121,මාන්කාඩු මාන්කාඩු,මාන්කාඩු
1122,තේතාතිවු තේතාතිවු,තේතාතිවු
1123,කලුතාවලෙයි කලුතාවලෙයි,කලුතාවලෙයි
1129,මරුදමුනේ මරුදමුනේ,මරුදමුනේ
1130,කල්මුණේ කල්මුණේ,කල්මුණේ
1164,බොරළු කන්ද බොරළු කන්ද,බොරළු කන්ද
1198,මැටියගනේ මැටියගනේ,මැටියගනේ
1216,කෙලිමුණේ කෙලිමුණේ,කෙලිමුණේ
1411,බොරගස් බොරගස්,බොරගස්
1421,බඹරකැලේ බඹරකැලේ,බඹරකැලේ
1427,ලබුකැලේ ලබුකැලේ,ලබුකැලේ
1461,කටුකැලේ කටුකැලේ,කටුකැලේ
1519,සුදුගල නල ළිඳ සුදුගල නල ළිඳ,සුදුගල නල ළිඳ
1567,තුන්කිඳ තුන්කිඳ,තුන්කිඳ
1593,කොමර්ෂල් කොමර්ෂල්,කොමර්ෂල්
1598,ඩෙවෝන් ඩෙවෝන්,ඩෙවෝන්
1600,තලවාකැලේ තලවාකැලේ,තලවාකැලේ
1607,වාලමලේ වාලමලේ,වාලමලේ
1617,මට්ටකැලේ මට්ටකැලේ,මට්ටකැලේ
1630,බලැක්පූල් බලැක්පූල්,බලැක්පූල්
1645,ක්වීන්ස් ටවුන් ක්වීන්ස් ටවුන්,ක්වීන්ස් ටවුන්
1657,ගාලෙකැලේ ගාලෙකැලේ,ගාලෙකැලේ
1689,රිදීමාලියද්ද රිදීමාලියද්ද,රිදීමාලියද්ද
1721,ඉඩමලන්ද ඉඩමලන්ද,ඉඩමලන්ද
1728,ඇඳිරිබැද්ද ඇඳිරිබැද්ද,ඇඳිරිබැද්ද
1744,මහ කැලේ මහ කැලේ,මහ කැලේ
1767,කුංචිකුලම කුංචිකුලම,කුංචිකුලම
1799,නෙල්ලිය ගම නෙල්ලිය ගම,නෙල්ලිය ගම
1839,මිහින්තලේ මිහින්තලේ,මිහින්තලේ
2046,කන්තලේ කන්තලේ,කන්තලේ
2057,සිංහකන්ද සිංහකන්ද,සිංහකන්ද
2196,දුන්හිඳ දුන්හිඳ,දුන්හිඳ
2312,බි‍්‍රජ් කෑම්ප් බි‍්‍රජ් කෑම්ප්,බි‍්‍රජ් කෑම්ප්
2329,අක්කරෙයිපත්තු අක්කරෙයිපත්තු,අක්කරෙයිපත්තු
2342,නිකවතලන්ද නිකවතලන්ද,නිකවතලන්ද
2345,දොලකන්ද දොලකන්ද,දොලකන්ද
2383,කළුකැලේ කළුකැලේ,කළුකැලේ
2395,වෑකන්ද වෑකන්ද,වෑකන්ද
2402,සමන්තුරෙයි සමන්තුරෙයි,සමන්තුරෙයි
2405,සායින්ද මරුදු සායින්ද මරුදු,සායින්ද මරුදු
2408,පරගහකැලේ පරගහකැලේ,පරගහකැලේ
2411,හාඩි ටෙක්නිකල් හාඩි ටෙක්නිකල්,හාඩි ඟෙක්නිකල්
2491,කලිසංනුගේ කලිසංනුගේ,කලිසංනුගේ
2551,පුල්ලුමලේ පුල්ලුමලේ,පුල්ලුමලේ
2552,පුල්ලුමලේ කන්ද පුල්ලුමලේ කන්ද,පුල්ලුමලේ කන්ද
2555,කෝප්පවේලී කෝප්පවේලී,කෝප්පවේලී
2556,තුම්පාලම්චෝලෙයි තුම්පාලම්චෝලෙයි,තුම්පාලම්චෝලෙයි
2561,සින්නපුල්ලුමලේ සින්නපුල්ලුමලේ,සින්නපුල්ලුමලේ
2564,ඉලුප්පඩිචේන්නෙයි ඉලුප්පඩිචේන්නෙයි,ඉලුප්පඩිචේන්නෙයි
2566,මුතුරායිඅඩි කන්ද මුතුරායිඅඩි කන්ද,මුතුරායිඅඩි කන්ද
2568,තියාවට්ටවාන් තියාවට්ටවාන්,තියාවට්ටවාන්
2576,පිල්ලෙයිඅඩිමඩු පිල්ලෙයිඅඩිමඩු,පිල්ලෙයිඅඩිමඩු
2583,වෙරුගල් වෙරුගල්,වෙරුගල්
2620,ඉහල හල්පේ ඉහල හල්පේ,ඉහල හල්පේ
2621,පහල හල්පේ පහල හල්පේ,පහල හල්පේ
2633,සැම්රිම් හොටෙල් සැම්රිම් හොටෙල්,සැම්රිම් හොටෙල්
2756,පොතුවිල් පොතුවිල්,පොතුවිල්
2776,තිරික්කෝවිල් තිරික්කෝවිල්,තිරික්කෝවිල්
