stop_id,stop_name
3001,සිරම්බෑව රජමහා විහාර පාර
3002,රොටවැව මුස්ලිම් පල්ලිය
3003,නාන තොටුපල
3004,මහදිවුල්වැව මහ විද්‍යාලය
3005,පන්කුලම
3006,තිරියායි හන්දිය
3007,ගැමුණුපුර හංදිය
3008,කොටියාඋල්පත
3009,දිවුල්වැව(වනසංරක්ෂණ කාර්යාලය)
3010,ගෝමරන්කඩවල
3011,231 කි.මි.කනුව
3012,233 කි.මි. කණුව
3013,පලයමුරුගන්ඩි කෝවිල
3014,237 කි.මි. කණුව
3015,කොකාවිල් (මධ්‍යම සංඥා වැඩපල)
3016,241 කි.මි කණුව
3017,මුරුගන්ඩි කෝවිල
3018,කෘෂිකර්ම විද්‍යාපීඨ භූමිය
3019,ඉරණමඩු හංදිය
3020,කිලිනොච්චි 155 සැතපුම් කණුව
3021,කිලිනොච්චි දිසා රෝහල
3022,කිලිනොච්චි ජලස්ථම්භය
3023,කරඩිපෝක් හංදිය
3024,256 කි.මි.කණුව
3025,පරන්තන් හංදිය
3026,උමයාන්පුරම් ග‍්‍රාමීය සංවර්ධන කාර්යාලය
3027,උමයාන්පුරම් කෝවිල
3028,263 කි.මි.කණුව
3029,අලිමංකඩ ගාමිණි කුලරත්න ස්මාරකය
3030,අලිමංකඩ හමුදා ස්මාරකය
3031,අයියකච්චිය දෙමළ ම.වි
3032,පුදුකාඩු හංදිය (කාලයඩි පාර)
3033,173 සැතපුම් කණුව
3034,පලෙයි 279 කි.මි. කණුව
3035,පලෙයි කඩ වීදීය
3036,283 කි.මි කණුව
3037,මුහමලේ 285 කි.මි කණුව
3038,මුහමලේ පුවරුව
3039,ආසයි පිල්ලේ ඒත්තම් ( දේවස්ථාන පාර)
3040,මිරිස්විල් උ.තැ.කා
3041,කොඩිකාමම් ටවුන් කොඩිකාමම් ටවුන්
3042,කොඩිකාමම් මුරුගන් කෝවිල
3043,පුත්තූර් හංදිය
3044,අරසඩි හංදිය (චාවකච්චේරි ප‍්‍රා.වි.පාර)
3045,චාවකච්චේරි බ.නැ
3046,චාවකච්චේරි අයියර් පටුමග
3047,චාවකච්චේරි පොලීසීය
3048,කයිතඩි පාලම
3049,දිය බුබුල
3050,අළුත්ඔය පොලිස් මුරපොල
3051,ලෑලි පාලම
3052,වාන් ඇල හන්දිය
3053,12 බැරියර්
3054,ජයන්තිගම හන්දිය (20 බැරියර්)
3055,පුල්ලෙයාර් කෝවිල (13 කි.මි. කණුව)
3056,සුරියපුර (සමනල පාලම රජමහ විහාරය)
3057,කන්තලේ සත්ව ගොවිපොල
3058,අල්ල පාලම
3059,සිත්තාරු කළු පාලම
3060,මීගස්ගොඩැල්ල කඳවුර
3061,සිරිමංගලපුර
3062,කල්ලාර් හන්දිය
3063,සෝමපුර ආර්.බි.01
3064,ආර්.බී.03
3065,සේරුනුවර (අලිඔළුව හන්දිය)
3066,අරිප්පු හන්දිය
3067,සේරුවිල විද්‍යාලය / බ්ලොක් 100
3068,වන්නාතමුනෙයි වන්නාතමුනෙයි
3069,සේරුවිල
3070,6/2 බෝක්කුව
3071,සෙල්වනගර්(අල්නූර් ම.වි)
3072,තෝප්පූර්
3073,තෝප්පූර් හංදිය
3074,මල්ලිකයිතිව් (ප‍්‍රා.සභා.උප කාර්යාලය)
3075,පච්චනුල් (කින්නියා පාර)
3076,64 කණුව මුස්ලිම් පල්ලිය
3077,පෙරියපාලම් කඩමන්ඩිය
3078,ඔරලෝසුකණුව හංදිය
3079,මූතූර්
3080,දරගල
3081,රතඹ
3082,අඔගස්දොව
3083,බලගල 4 සැතපුම් කණුව
3084,පල්ලෙවෙල 8 කි.මි. කණුව
3085,ලුණුවත්ත
3086,දියතලාව
3087,කහගොල්ල පාසල
3088,කිරිඳිඇල්ල
3089,ඇල්ලේතොට
3090,120 කි.මි කණුව
3091,මඩකලපුව
3092,යෝධ ඇල
3093,බටුකොටුව
3094,යුදගනාව
3095,දිවුලන්කඩවල
3096,විහාර මාවත
3097,මැදිරිගිරිය
3098,සී පී මාවත
3099,දියසෙන්පුර
3100,ගලේවෙල (කලාවැව හන්දිය)
3101,හොරිවිල වෙදගෙදර
3102,අක්කරෙයිපත්තු බස් නැවතුම්පොල
3103,අක්කරෙයිපත්තු ප‍්‍රා.ලේ .කාර්යාලය
3104,අඩ්ඩාලච්චේනෙයි අඩ්ඩාලච්චේනෙයි
3105,මිනෝඩයි කඩ්ඩු මිනෝඩයි කඩ්ඩු
3106,පාලමුනෙයි පාලමුනෙයි
3107,ඔලුවිල්
3108,පුල්පිටිය හංදිය
3109,අල්ලිමුල්ල
3110,නින්දවූර්
3111,මාදුරුඔය හංදිය (කන්දේගම පාර)
3112,තේක්කවත්ත ගල්පොත්ත
3113,වැලිමඩ කඩේ
3114,යුධහමුදා පුහුණු පාසල
3115,විශේෂ බලකා හංදිය
3116,මාදුරුඔය දියවරගම
3117,වැලිකන්ද වැලිකන්ද
3118,චෛත්‍ය හන්දිය
3119,ජී පී එස් හන්දිය
3120,මැදිරිගිරිය නව නගරය
3121,චෛත්‍ය පාලම
3122,යාය 7
3123,යාය 12 පාලම
3124,මාතර කඩේ
3125,යාය 11
3126,සොරොව්ව
3127,විජයපුර ගාමන්ට්
3128,මීගස්වැව
3129,"වැල්ලවත්ත,බේස්ලයින්,පුත්තලම් පාර"
3130,අසේලපුර (පාසල් පාර)
3131,µමෙත‍්‍රිගම ප‍්‍රාථමික විදුහල
3132,මහසෙන්පුර හංදිය
3133,දේවාලගල
3134,කුරුළුබැද්ද කුරුළුබැද්ද
3135,4 ඇල අක්කර 500 පාර
3136,පො රාජකීය විදුහල කී‍්‍රඩාංගනය
3137,නවනගරය බුදුපිළිමය
3138,PS කොලනිය ගනංගොල්ල හංදිය
3139,PS කොලනිය විදුහල
3140,PS කොලනිය බෝධිය
3141,PS කොලනිය කනත්ත
3142,කලහගල පාසල
3143,කලහගල ඇල පාලම
3144,කලහගල බෝධිය
3145,කලහගල
3146,ගිරාඳුරුකෝට්ටේ
3147,පන්නල (පූර්වාරාම විහාරය)
3148,ලදුපිට (43 කි.මි. කණුව)
3149,පදියපැලැල්ල බස්නැවතුම්පල
3150,කඳුර කඩේ (ගම්පහ බෙභෙත් ශාලාව)
3151,දෙහිපේ දෙහිපේ
3152,රිකිල්ලගස්කඩ බ.නැ
3153,මාදන්වල හංදිය
3154,හඟුරන්කෙත
3155,සිප්පිතිරල් සිප්පිතිරල්
3156,කෝවිල් අඩි
3157,සිවතපාලම්
3158,සුරංගල් හංදිය
3159,කච්චකාරතිව්
3160,කුට්ටිකරච්චි
3161,බුහාරි හංදිය
3162,කින්නියා
3163,වෙල්ලමනල් පුස්තකාලය
3164,වෙල්ලායිමනල් හන්දිය
3165,චීන වරාය දුම්රිය ස්ථානය
3166,කොඩ්බේ වරාය
3167,අනුරාධපුර හංදිය
