stop_id,stop_name
1,කොළඹ
2,මාලිගාවත්ත
3,කැළණිතිස්ස
4,4 කණුව/බියගම පාර
5,තොරණ හන්දිය
6,කැළණිය විශ්ව විද්‍යාලය
7,කිරිබත්ගොඩ
8,මහර හන්දිය
9,කඩවත
10,ගෝනහේන හංදිය
11,ඉඳිගහමුල හංදිය
12,කිරිල්ලවල
13,ට‍්‍රැක්මෝ හංදිය
14,මුදුන්ගොඩ(පබාවී)
15,මිරිස්වත්ත
16,යක්කල
17,අළුත්ගම
18,කළගෙඩිහේන
19,තිහාරිය
20,නිට්ටඹුව සංඝබෝධි මහා විද්‍යාලය
21,නිට්ටඹුව
22,කලල්පිටිය
23,පස්යාල
24,කජුගම
25,රදාවඩුන්න
26,වේවැල්දෙණිය
27,දංඕවිට
28,දුම්මලදෙණිය
29,වරකාපොල
30,අඹේපුස්ස
31,මාහේන
32,තෝලංගමුව
33,ගස්නාව වත්ත හන්දිය
34,නෙළුම්දෙණිය
35,බටපොතැල්ල කන්දඋඩ
36,සියඹලාපිටිය
37,බල්ලපාන හන්දිය
38,ගලිගමුව
39,අඹන්පිටිය
40,රංවල හන්දිය
41,කෑගල්ල
42,මීපිටිය
43,කරඬුපොන
44,මොලගොඩ
45,මංගලගම
46,උතුවන්කන්ද
47,අන්වාරම
48,මාවනැල්ල
49,බෙලිගම්මන
50,හිඟුල
51,ගනේතැන්න
52,පහල කඩුගන්නාව
53,කඩුගන්නාව
54,හේනාවල (රෝහල පාර)
55,පිලිමතලාව
56,ඇඹිල්මීගම (යටිනුවර ප‍්‍රා.සභාව)
57,කිරිබත්කුඹුර
58,පේරාදෙණිය
59,ගැටඹේ
60,මුල්ගම්පොල
61,මහනුවර
62,මීගමුව
63,තෙල්වත්ත
64,කුරණ (පල්ලිය හංදිය)
65,20 කණුව (ගුවන් හමුදා කඳවුර)
66,18 කණුව (ගුවන්තොටුපල හංදිය)
67,ඇවරිවත්ත බස්නැවතුම්පල
68,නයිකන්ද මුදුන
69,ආඬ්අම්බලම හංදිය
70,පීල්ලවත්ත
71,යටියන හංදිය
72,මිනුවන්ගොඩ බස්නැවතුම්පල
73,වෑගොව්ව හංදිය
74,පමුණුව හංදිය
75,දෙවලපොල හංදිය
76,වල්පිටමුල්ල
77,නයිවල හංදිය
78,වටද්දර පන්සල
79,වේයන්ගොඩ බස්නැවතුම්පල
80,උදම්මිට
81,අශෝකාරාමය
82,පරගම්මන හන්දිය
83,මාතුර මහා විදුහල
84,භෙට්ටිමුල්ල හංදිය
85,5 කණුව (පීල්ල ලඟ)
86,මොරොන්තොට
87,මාබෝපිටිය හන්දිය
88,උඳුගොඩ නිකපිටිය හන්දිය
89,තන්නිමලේ
90,දෙමටගොඩ
91,බොරැල්ල
92,නාරාහේන්පිට
93,කප්පාගොඩ හන්දිය
94,දාස්වත්ත හන්දිය
95,උස්සාපිටිය
96,අළුපොත
97,පොලාඹේගොඩ
98,ගැවිලිපිටිය
99,දිප්පිටිය
100,හබලන්තොට හන්දිය
101,තල්ගස්පිටිය
102,පෙතිගම්මන 1 කණුව
103,භෙම්මාතගම
104,ගණිතපුර
105,තල්ලියද්ද
106,කෝන්ගොඩ හංදිය
107,නියදුරුපොල (ග‍්‍රාමීය බැංකුව)
108,හල්ලව (ශ‍්‍රී විදර්ශනාරාමය)
109,ගලපිටමඩ
110,දොරවක සිරිනිවාස විද්‍යාලය
111,ගල්අමුණ වෙලේ කඩේ
112,කොහොඹදෙණිය පාසල
113,මැණික්කඩවර
114,ඉඹුලෝවිට
115,නවම් මාවත
116,ග්ලාස් හවුස්
117,රේස් කෝස්
118,ජාවත්ත
119,18 කණුව (ගුවන් හමුදා කඳවුර)
120,ස්විස් හෝටලය
121,බූවැලිකඩ
122,තැන්නෙකුඹුර
123,කුණ්ඩසාලෙ
124,ගම්උදාව
125,පල්ලෙකැලේ හමුදා කඳවුර
126,බලගොල්ල
127,කෙංගල්ල
128,හේනාවල (කලාසිරිගම හංදිය)
129,මැණික්හින්න
130,ඉලුක්මෝදර
131,ගුරුදෙණිය
132,මාලිඟාතැන්න
133,හාරගම විදුහල
134,හාරගම ගොවිපොළ
135,පුබුදුගම පාර
136,තලාතුඔය පාර හන්දිය
137,කිවුල් ලිඳ
138,දිවුල්ගොල්ල
139,මයිලපිටිය කඩමණ්ඩිය
140,කන්ද හන්දිය
141,උණුවින්න (22 කිමි කණුව)
142,මාඔය හංදිය
143,පේරවංගුව (උනන්තැන්න පාර)
144,හඟුරන්කෙත බස්නැවතුම්පල
145,මාදන්වල රාජමහා විහාරය
146,කටුගස්හින්න කඩමණ්ඩිය
147,රිකිල්ලගස්කඩ
148,දෙනිකේ මහා විද්‍යාලය
149,කරඳගොල්ල පුස්තකාලය
150,දෙහිපේ විද්‍යාලය
151,කඳුරකඩේ (ගම්පහ බෙභෙත් ශාලාව)
152,පදියපැලැල්ල
153,ලඳුපිට 43 කිමි කණුව
154,ලදුපිට (44 කි.මි.කණුව)
155,මුං වත්ත (29 සැතපුම් කනුව)
156,ලියන්වල හන්දිය
157,ආඳාවල දිය ඇල්ල
158,මලපට්ටාව (50 කි.මි. කනුව)
159,නාරංතලාව හංදිය
160,වැවකැලේ (54 කි.මි.කනුව)
161,කුඹල්ගමුව පන්සල
162,කුඹල්ගමුව (දැලිවල ම.වි)
163,රෝහල් හංදිය(මහවැව පාර)
164,වලපනේ
165,වැල්හින්න(15 කණුව)
166,එගොඩකන්ද(නන්දාරාම ම.වි)
167,වැරැල්ල කඩමණ්ඩිය
168,නිල්දණ්ඩාහින්න
169,වලස්කැලේ 11 කිමි
170,රාසින්ගොල්ල හංදිය(තෙරිපැහැපාර)
171,දඹගොල්ල හංදිය
172,කොටඹේ(දිග්ගල විදුහල පාර)
173,පල්ලෙවෙල උ.තැ.කා
174,රූපහ
175,ගාලුමුවදොර
176,කොල්ලුපිටිය
177,බම්බලපිටිය
178,වැල්ලවත්ත
179,දෙහිවල
180,ගල්කිස්ස
181,රත්මලාන
182,කටුබැද්ද හංදිය
183,මොරටුව
184,කොරලවැල්ල (දුම්රිය ස්ථානය)
185,එගොඩඋයන (දුම්රිය ස්ථානය)
186,අළුත් පාලම
187,පානදුර
188,නල්ලුරුව හන්දිය
189,තල්පිටිය (වාද්දුව හොලිඩේ රිසෝට්)
190,වාද්දුව/මොරොන්තුඩුව පාර
191,මොල්ලිගොඩ/කොරොස්දූව පාර
192,පොතුපිටිය/වාලුකාරාමය
193,වාඩියමංකඩ/බණ්ඩාරගම පාර
194,නාගස් හන්දිය
195,කළුතර
196,කටුකුරුන්ද හංදිය
197,මලේගොඩ/දොඩම්ගොඩ පාර
198,පයාගල/නාගහතුඩුව
199,මග්ගොන/මුංහේන පාර
200,පොල්කොටුව/මාගල්කන්ද පාර
201,බේරුවල
202,මොරගල්ල තැ.කා
203,බෙන්තොට (කහඹිලියාකන්ද)
204,වරාහේන/දුම්රිය හරස්පාර
205,ඉඳුරුව දුම්රිය පොල
206,මහ ඉඳුරුව දුම්රියපොළ
207,දූව මෝදර/පොල්වත්ත පාර
208,කොස්ගොඩ
209,අහුංගල්ල/ඌරගහ පාර
210,පාතෙගම/ගොඩගෙදර හංදිය
211,බලපිටිය බස් නැවතුම්පළ
212,බලපිටිය රෝහල
213,රන්දොඹ සංඝරාජ විහාරය
214,අම්බලන්ගොඩ
215,මාදම්පෙ (උස්මුදුලාව)
216,අකුරල
217,කහව
218,සීනිගම
219,හික්කඩුව
220,නාරිගම
221,කුමාරකන්ද හන්දිය
222,දොඩන්දූව
223,රත්ගම
224,බූස්ස හමුදා කඳවුර
225,ගිංතොට
226,ගිංතොට ඩිපෝව
227,මහ මෝදර රෝහල
228,ගාල්ල බස් නැවතුම්පොල
229,මෝඩ ඇල
230,දෙවට හන්දිය
