route_number,route_name,stop_sequence,stop_id,stop_name,fare_from_start
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,0,001-001 කොළඹ - කෑගල්ල_000,කොළඹ,0.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,2,001-001 කොළඹ - කෑගල්ල_002,කැළණිතිස්ස,35.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,3,001-001 කොළඹ - කෑගල්ල_003,4 කණුච/බියගම පාර,45.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,4,001-001 කොළඹ - කෑගල්ල_004,තොරණ හන්දිය,55.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,6,001-001 කොළඹ - කෑගල්ල_006,කිරිබත්ගොඩ,76.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,9,001-001 කොළඹ - කෑගල්ල_009,ගෙනහේන හන්දිය,97.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,13,001-001 කොළඹ - කෑගල්ල_013,මුදුන්ගොඩ(පබාවී),123.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,14,001-001 කොළඹ - කෑගල්ල_014,මිරිස්චත්ත,130.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,15,001-001 කොළඹ - කෑගල්ල_015,යක්කල,135.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,16,001-001 කොළඹ - කෑගල්ල_016,අළුත්ගම,140.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,17,001-001 කොළඹ - කෑගල්ල_017,කළගෙඩිහේන,147.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,18,001-001 කොළඹ - කෑගල්ල_018,තිහාරිය,152.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,19,001-001 කොළඹ - කෑගල්ල_019,නිට්ටඹුව සංඝබෝධි මහා විදා90ාලය,159.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,22,001-001 කොළඹ - කෑගල්ල_022,පස්‍යාල,176.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,23,001-001 කොළඹ - කෑගල්ල_023,කජුගම,183.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,24,001-001 කොළඹ - කෑගල්ල_024,රදාවඩුන්න,189.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,25,001-001 කොළඹ - කෑගල්ල_025,චේචැල්දෝණිය,195.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,28,001-001 කොළඹ - කෑගල්ල_028,දරකාපොල,213.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,29,001-001 කොළඹ - කෑගල්ල_029,අඹේපුස්ස,220.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,30,001-001 කොළඹ - කෑගල්ල_030,මාහේන,227.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,31,001-001 කොළඹ - කෑගල්ල_031,තෙලංගමුව,232.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,32,001-001 කොළඹ - කෑගල්ල_032,ගස්නාව චත්ත හන්දිය,239.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,38,001-001 කොළඹ - කෑගල්ල_038,නෙළුම්දෝණිය,244.0
001-001 කොළඹ - කෑගල්ල,දරකාපොල 0609 සී,39,001-001 කොළඹ - කෑගල්ල_039,රංචල හන්දිය,280.0
