route_number,route_name,stop_sequence,stop_id,stop_name,fare_from_start
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,0,001 කොළඹ - මහනුවර_000,කොළඹ 46 323.00] අන්චාරම,0.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,47,001 කොළඹ - මහනුවර_047,මාචනැල්ල,329.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,2,001 කොළඹ - මහනුවර_002,කැළණිනිස්ස 48 336.00] බෙලිගම්මන,35.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,3,001 කොළඹ - මහනුවර_003,4 කණුච/බියගම පාර 49 341.00] බදුල්ල,45.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,4,001 කොළඹ - මහනුවර_004,තොරණ හන්දිය 50 348.00] ගනේතැන්න,55.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,51,001 කොළඹ - මහනුවර_051,පහල කඩුගන්නාව,353.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,7,001 කොළඹ - මහනුවර_007,මහර හන්දිය 53 365.00} හේනාචල (රෝහල පාර),86.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,8,001 කොළඹ - මහනුවර_008,කඩචත 54 372.00| පිලිමතලාව,90.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,9,001 කොළඹ - මහනුවර_009,ගෙනහේන හන්දිය 55 379.00| ඇඹිල්මීගම (යටිනුවර ප්‍රා.සභාව ),97.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,10,001 කොළඹ - මහනුවර_010,ඉඳිගහමුල හන්දිය 56 384.00} කිර්බත්කුඹුර,104.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,57,001 කොළඹ - මහනුවර_057,පේරාදෝණිය,391.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,12,001 කොළඹ - මහනුවර_012,ට්‍රැක්මෙන් හන්දිය 58 396.00] ගැටඹේ,116.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,13,001 කොළඹ - මහනුවර_013,මුදුන්ගොඩ(පබාවී) 59 403.00} මූල්ගම්පොල,123.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,14,001 කොළඹ - මහනුවර_014,මිරිස්චත්ත 60 408.00} මහනුචර,130.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,15,001 කොළඹ - මහනුවර_015,යක්කල,135.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,16,001 කොළඹ - මහනුවර_016,අළුත්ගම,140.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,17,001 කොළඹ - මහනුවර_017,කළගෙඩිහේන,147.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,19,001 කොළඹ - මහනුවර_019,නිට්ටඹුව සංඝබෝධි මහා විදා90ාලය,159.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,22,001 කොළඹ - මහනුවර_022,පස්‍යාල,176.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,23,001 කොළඹ - මහනුවර_023,කජුගම,183.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,24,001 කොළඹ - මහනුවර_024,රදාවඩුන්න,189.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,25,001 කොළඹ - මහනුවර_025,චේචැල්දෝණිය,195.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,28,001 කොළඹ - මහනුවර_028,දරකාපොල,213.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,29,001 කොළඹ - මහනුවර_029,අඹේපුස්ස,220.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,30,001 කොළඹ - මහනුවර_030,මාහේන,227.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,31,001 කොළඹ - මහනුවර_031,තෙලංගමුව,232.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,38,001 කොළඹ - මහනුවර_038,අඹන්පිටිය,275.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,39,001 කොළඹ - මහනුවර_039,රංචල හන්දිය,280.0
001 කොළඹ - මහනුවර,දරකාපොල 0609 සී,43,001 කොළඹ - මහනුවර_043,මොලගොඩ,304.0
